"Wanderungen zwischen Deutschland und dem Ausland:
Deutschland, Jahre, Nationalität, Geschlecht, Altersjahre";;;;;;;;;;;;;;;;;;;;;;;;;;;
Wanderungsstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Jahr
Altersjahre";Deutsche;;;;;;;;;Ausländer;;;;;;;;;Insgesamt;;;;;;;;
;männlich;;;weiblich;;;Insgesamt;;;männlich;;;weiblich;;;Insgesamt;;;männlich;;;weiblich;;;Insgesamt;;
;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2021;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-Jährige;695;962;-267;372;473;-101;1067;1435;-368;1027;1850;-823;948;1154;-206;1975;3004;-1029;1722;2812;-1090;1320;1627;-307;3042;4439;-1397
66-Jährige;707;957;-250;343;504;-161;1050;1461;-411;867;1705;-838;794;1189;-395;1661;2894;-1233;1574;2662;-1088;1137;1693;-556;2711;4355;-1644
67-Jährige;545;790;-245;302;446;-144;847;1236;-389;672;1174;-502;733;1034;-301;1405;2208;-803;1217;1964;-747;1035;1480;-445;2252;3444;-1192
68-Jährige;441;618;-177;244;381;-137;685;999;-314;556;880;-324;636;887;-251;1192;1767;-575;997;1498;-501;880;1268;-388;1877;2766;-889
69-Jährige;371;563;-192;223;388;-165;594;951;-357;493;759;-266;577;773;-196;1070;1532;-462;864;1322;-458;800;1161;-361;1664;2483;-819
70-Jährige;338;535;-197;225;360;-135;563;895;-332;383;682;-299;512;747;-235;895;1429;-534;721;1217;-496;737;1107;-370;1458;2324;-866
71-Jährige;319;526;-207;196;355;-159;515;881;-366;368;671;-303;466;736;-270;834;1407;-573;687;1197;-510;662;1091;-429;1349;2288;-939
72-Jährige;312;467;-155;199;326;-127;511;793;-282;298;613;-315;416;671;-255;714;1284;-570;610;1080;-470;615;997;-382;1225;2077;-852
73-Jährige;251;393;-142;155;272;-117;406;665;-259;262;604;-342;412;652;-240;674;1256;-582;513;997;-484;567;924;-357;1080;1921;-841
74-Jährige;218;351;-133;123;260;-137;341;611;-270;240;607;-367;362;591;-229;602;1198;-596;458;958;-500;485;851;-366;943;1809;-866
75-Jährige;191;315;-124;129;258;-129;320;573;-253;237;536;-299;299;550;-251;536;1086;-550;428;851;-423;428;808;-380;856;1659;-803
76-Jährige;154;271;-117;99;195;-96;253;466;-213;195;440;-245;294;438;-144;489;878;-389;349;711;-362;393;633;-240;742;1344;-602
77-Jährige;173;290;-117;132;267;-135;305;557;-252;158;411;-253;229;455;-226;387;866;-479;331;701;-370;361;722;-361;692;1423;-731
78-Jährige;160;272;-112;98;275;-177;258;547;-289;170;431;-261;246;375;-129;416;806;-390;330;703;-373;344;650;-306;674;1353;-679
79-Jährige;144;266;-122;106;250;-144;250;516;-266;141;407;-266;201;337;-136;342;744;-402;285;673;-388;307;587;-280;592;1260;-668
80-Jährige;139;312;-173;136;333;-197;275;645;-370;115;424;-309;196;386;-190;311;810;-499;254;736;-482;332;719;-387;586;1455;-869
81-Jährige;119;298;-179;105;317;-212;224;615;-391;127;484;-357;191;430;-239;318;914;-596;246;782;-536;296;747;-451;542;1529;-987
82-Jährige;89;231;-142;85;338;-253;174;569;-395;89;360;-271;167;364;-197;256;724;-468;178;591;-413;252;702;-450;430;1293;-863
83-Jährige;73;211;-138;73;289;-216;146;500;-354;89;398;-309;144;318;-174;233;716;-483;162;609;-447;217;607;-390;379;1216;-837
84-Jährige;70;204;-134;83;291;-208;153;495;-342;76;292;-216;125;278;-153;201;570;-369;146;496;-350;208;569;-361;354;1065;-711
